                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8601,                 3.8933,                 3.7508,                0.29887,                0.12172,                 0.0664,                0.02192,                 2.2571,                 4.3561,                 3.1862,                0.07016,              0.0033155,              0.0033155
                      2,                 2.2345,                 3.1797,                 3.0311,                0.40336,                0.25198,                0.15087,                0.07606,                 1.6363,                 3.8408,                 2.5776,               0.040095,               0.006583,               0.006583
                      3,                 1.7074,                 2.3142,                  2.375,                0.48399,                0.59839,                0.25469,                0.14909,                 1.3947,                 2.1434,                 2.3028,              0.0099628,              0.0097845,              0.0097845
                      4,                 1.4396,                 1.9565,                 2.0529,                0.58776,                 0.5465,                0.36953,                  0.251,                 1.1598,                  1.889,                 1.9918,               0.009703,               0.009703,               0.009703
                      5,                 1.2873,                 1.7479,                   1.86,                0.56804,                0.52836,                0.35476,                 0.2324,                 1.1989,                 1.6076,                 1.9857,               0.009604,               0.009604,               0.009604
                      6,                 1.1902,                 1.6246,                 1.7675,                0.53896,                0.70224,                0.39913,                0.28355,                  1.019,                 1.4329,                 1.7747,               0.009505,               0.009505,               0.009505
                      7,                 1.1129,                 1.5242,                 1.6779,                 0.6022,                0.56311,                 0.4083,                0.29518,                0.97594,                 1.3321,                 1.7458,               0.009406,               0.009406,               0.009406
                      8,                  1.046,                 1.4462,                 1.6193,                0.60045,                0.58488,                0.38878,                0.29613,                0.84831,                  1.268,                 1.5434,               0.009307,               0.009307,               0.009307
                      9,                 1.0069,                 1.4081,                 1.5829,                0.60396,                0.59099,                 0.4134,                0.30719,                0.83909,                 1.3389,                 1.5714,               0.009208,               0.009208,               0.009208
                     10,                0.97686,                 1.3714,                 1.5466,                0.60818,                0.57451,                 0.4237,                0.29923,                0.93259,                 1.2997,                 1.6933,               0.009109,               0.009109,               0.009109
                     11,                 0.9462,                 1.3431,                 1.5152,                0.59914,                0.57168,                 0.4183,                0.31248,                0.81842,                 1.2305,                 1.5534,                0.00901,                0.00901,                0.00901
                     12,                0.90745,                 1.3071,                   1.48,                0.27867,                0.74924,                 0.4075,                0.32254,                0.72895,                 1.1755,                 1.4201,               0.008911,               0.008911,               0.008911
                     13,                0.88297,                 1.2828,                 1.4465,                0.42621,                0.80971,                0.49656,                0.35096,                0.82953,                 1.1798,                  1.617,               0.008812,               0.008812,               0.008812
                     14,                0.86786,                 1.2708,                 1.4325,                0.51177,                0.82646,                0.50186,                0.39214,                0.72703,                  1.129,                 1.4259,               0.008713,               0.008713,               0.008713
                     15,                0.86476,                  1.266,                 1.4274,                0.49221,                0.84821,                0.55323,                0.41859,                0.70961,                  1.119,                 1.4055,               0.008614,               0.008614,               0.008614
                     16,                0.85012,                 1.2538,                 1.4084,                0.48121,                0.85788,                0.54385,                0.40556,                0.67784,                 1.1165,                 1.3621,               0.008515,               0.008515,               0.008515
                     17,                0.82947,                 1.2253,                 1.3886,                0.47718,                0.85369,                0.56821,                0.44639,                0.65091,                 1.0968,                 1.3404,               0.008416,               0.008416,               0.008416
                     18,                0.80147,                  1.209,                 1.3707,                0.54051,                0.82418,                0.53793,                0.41838,                0.69796,                 1.1137,                  1.403,               0.008317,               0.008317,               0.008317
                     19,                0.80916,                 1.2165,                 1.3683,                0.50896,                0.72786,                0.56471,                0.42974,                 0.6771,                 1.0645,                 1.3557,               0.008218,               0.008218,               0.008218
                     20,                0.80584,                 1.2042,                 1.3639,                0.52761,                 0.7943,                 0.5884,                0.41755,                0.67486,                 1.0751,                 1.3667,               0.008119,               0.008119,               0.008119
                     21,                0.77712,                   1.19,                 1.3425,                0.43558,                0.84351,                0.52456,                0.40805,                0.67134,                 1.0559,                 1.3674,                0.00802,                0.00802,                0.00802
                     22,                0.77901,                 1.1908,                 1.3447,                0.54522,                0.85229,                0.61006,                0.47694,                0.64547,                 1.0203,                 1.3205,               0.007921,               0.007921,               0.007921
                     23,                0.78564,                 1.1774,                  1.346,                0.55588,                0.73021,                0.60895,                0.47448,                0.66775,                 1.0193,                 1.3489,               0.007822,               0.007822,               0.007822
                     24,                0.77079,                 1.1625,                 1.3288,                0.53908,                0.87549,                0.59425,                0.45821,                0.63404,                 1.0375,                 1.3103,               0.007723,               0.007723,               0.007723
