                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0144,                 4.1127,                 4.1256,                0.00275,                0.70192,                0.00546,                0.00191,                 2.3981,                 4.3487,                 3.9598,               0.070319,              0.0032979,              0.0032979
                      2,                 2.9434,                 3.8464,                 3.8275,                0.54056,                0.06563,                0.06069,                 0.0149,                 2.5294,                 9.5073,                 3.4656,               0.040253,              0.0065656,              0.0065656
                      3,                 2.6181,                 3.1552,                  3.262,                0.44408,                0.06456,                0.10378,                0.04574,                 1.9991,                 3.2706,                 2.9966,               0.010122,              0.0097672,              0.0097672
                      4,                 1.9411,                 2.4587,                 2.5709,                0.44193,                 0.4729,                0.21887,                0.11323,                 1.6705,                 4.0992,                 2.6444,               0.009703,               0.009703,               0.009703
                      5,                 1.4918,                 1.9456,                 2.1059,                 0.4828,                0.55962,                0.34719,                0.22275,                 1.3026,                 1.9789,                 2.1671,               0.009604,               0.009604,               0.009604
                      6,                 1.2655,                 1.6849,                 1.8858,                0.49173,                0.73258,                0.37953,                0.28159,                0.97146,                 1.5589,                 1.7323,               0.009505,               0.009505,               0.009505
                      7,                 1.1373,                 1.5364,                 1.7556,                0.51696,                0.56885,                0.38248,                0.28761,                0.90259,                 1.6445,                 1.6735,               0.009406,               0.009406,               0.009406
                      8,                 1.0435,                 1.4329,                 1.6625,                0.58638,                0.55921,                 0.3933,                0.28739,                 1.0144,                 1.4474,                 1.8851,               0.009307,               0.009307,               0.009307
                      9,                 1.0002,                 1.3733,                 1.6075,                0.54984,                0.73718,                0.39895,                0.28308,                 1.0272,                 1.3328,                 1.9004,               0.009208,               0.009208,               0.009208
                     10,                0.95819,                  1.325,                 1.5637,                0.60413,                0.57532,                0.48199,                0.34105,                0.88535,                 1.2326,                 1.6368,               0.009109,               0.009109,               0.009109
                     11,                0.92195,                 1.2981,                 1.5259,                0.61152,                0.57354,                0.44741,                0.32378,                0.87715,                 1.2205,                 1.6691,                0.00901,                0.00901,                0.00901
                     12,                0.88361,                 1.2675,                 1.4919,                0.54983,                0.71059,                0.47804,                0.32973,                 0.8894,                 1.2573,                 1.6819,               0.008911,               0.008911,               0.008911
                     13,                0.86602,                 1.2393,                 1.4689,                0.55217,                0.73329,                0.53237,                0.39508,                0.76932,                 1.1666,                 1.5279,               0.008812,               0.008812,               0.008812
                     14,                0.85441,                 1.2286,                 1.4526,                0.52608,                0.80748,                0.56314,                0.39998,                  0.814,                 1.1255,                  1.551,               0.008713,               0.008713,               0.008713
                     15,                0.83785,                 1.2271,                 1.4339,                0.52839,                0.83741,                0.57828,                0.42393,                0.68262,                 1.1122,                    1.4,               0.008614,               0.008614,               0.008614
                     16,                0.81915,                 1.2034,                 1.4176,                0.51251,                0.73651,                0.52779,                0.37887,                0.75244,                 1.1695,                 1.4941,               0.008515,               0.008515,               0.008515
                     17,                0.80158,                 1.1853,                 1.4041,                0.55589,                0.73768,                 0.6278,                0.45793,                0.66282,                 1.1213,                 1.3656,               0.008416,               0.008416,               0.008416
                     18,                 0.7924,                 1.1641,                 1.3916,                0.54901,                 0.8535,                0.61269,                 0.4047,                0.85385,                 1.1441,                 1.6229,               0.008317,               0.008317,               0.008317
                     19,                0.77864,                 1.1612,                 1.3798,                0.58413,                0.69602,                0.61559,                0.43926,                0.69159,                 1.1208,                    1.4,               0.008218,               0.008218,               0.008218
                     20,                0.77535,                 1.1513,                 1.3785,                0.53855,                0.84993,                0.62761,                0.47942,                0.65493,                 1.0657,                 1.3675,               0.008119,               0.008119,               0.008119
                     21,                0.76687,                 1.1399,                 1.3748,                0.58755,                0.75505,                0.65167,                0.50506,                 0.6275,                  1.058,                 1.3198,                0.00802,                0.00802,                0.00802
                     22,                 0.7571,                 1.1403,                 1.3613,                0.57156,                0.87379,                0.64791,                0.48604,                0.65113,                 1.0465,                 1.3537,               0.007921,               0.007921,               0.007921
                     23,                0.75747,                 1.1326,                 1.3574,                0.51174,                0.77834,                0.64584,                0.49841,                0.62369,                 1.0308,                 1.3254,               0.007822,               0.007822,               0.007822
                     24,                0.74824,                 1.1162,                 1.3483,                0.54351,                 0.7241,                0.63869,                0.50113,                0.64239,                 1.0996,                 1.3426,               0.007723,               0.007723,               0.007723
                     25,                0.74113,                 1.1035,                 1.3445,                  0.549,                0.87446,                0.64487,                0.49675,                0.64189,                  1.007,                 1.3375,               0.007624,               0.007624,               0.007624
                     26,                 0.7308,                 1.1102,                 1.3406,                0.59916,                0.83436,                0.65566,                0.51174,                0.60264,                  1.008,                 1.2819,               0.007525,               0.007525,               0.007525
                     27,                0.72596,                 1.1018,                 1.3318,                0.63859,                 0.7697,                0.68277,                0.52133,                0.64941,                0.98512,                 1.3633,               0.007426,               0.007426,               0.007426
                     28,                0.72554,                 1.0843,                 1.3228,                 0.5166,                0.82215,                0.64819,                0.50178,                0.67325,                 1.1092,                 1.4087,               0.007327,               0.007327,               0.007327
                     29,                0.72147,                 1.0913,                 1.3211,                0.53359,                0.83845,                0.64845,                0.50893,                0.64413,                 1.0148,                 1.3324,               0.007228,               0.007228,               0.007228
                     30,                0.71561,                 1.0834,                 1.3178,                0.60487,                0.81662,                0.67773,                0.51774,                0.62852,                0.97132,                 1.3112,               0.007129,               0.007129,               0.007129
                     31,                0.71372,                 1.0717,                 1.3221,                0.51515,                0.83372,                0.67667,                0.52731,                0.61099,                 1.0627,                 1.2856,                0.00703,                0.00703,                0.00703
                     32,                0.71171,                 1.0719,                 1.3114,                0.57769,                0.85185,                0.68464,                0.53413,                0.61222,                0.98971,                 1.3047,               0.006931,               0.006931,               0.006931
                     33,                0.70309,                 1.0682,                 1.3077,                0.60185,                0.81736,                0.69793,                0.54754,                0.63798,                0.98026,                 1.3464,               0.006832,               0.006832,               0.006832
                     34,                0.69278,                  1.065,                 1.3025,                0.57543,                0.86823,                0.68204,                0.54432,                0.59785,                0.97809,                 1.2745,               0.006733,               0.006733,               0.006733
                     35,                0.69039,                 1.0636,                 1.2921,                0.61362,                 0.8535,                0.72122,                0.57525,                0.58503,                0.96586,                 1.2623,               0.006634,               0.006634,               0.006634
                     36,                0.69155,                 1.0522,                 1.2998,                0.60076,                0.84912,                 0.6906,                0.53114,                0.63996,                0.96337,                 1.3463,               0.006535,               0.006535,               0.006535
                     37,                0.68491,                  1.052,                 1.2868,                0.60742,                0.83349,                0.66854,                0.50899,                0.63694,                 0.9943,                 1.3295,               0.006436,               0.006436,               0.006436
                     38,                0.67726,                 1.0446,                 1.2769,                0.61618,                0.84061,                0.70652,                0.55413,                0.57848,                0.93081,                 1.2421,               0.006337,               0.006337,               0.006337
                     39,                 0.6679,                 1.0462,                 1.2752,                0.64579,                0.80625,                0.70855,                 0.5577,                0.60527,                0.93044,                 1.2906,               0.006238,               0.006238,               0.006238
                     40,                0.67359,                  1.039,                 1.2765,                0.64382,                0.78431,                0.70729,                0.55675,                 0.5662,                 0.9454,                 1.2455,               0.006139,               0.006139,               0.006139
                     41,                 0.6742,                 1.0389,                 1.2815,                0.60506,                0.81461,                0.73428,                0.59098,                0.57279,                0.93381,                 1.2454,                0.00604,                0.00604,                0.00604
                     42,                0.67499,                 1.0313,                 1.2802,                0.54426,                0.87174,                0.72964,                0.56818,                0.61124,                 1.0083,                 1.2916,               0.005941,               0.005941,               0.005941
                     43,                0.66596,                 1.0323,                 1.2724,                0.60184,                0.83545,                0.71163,                0.56677,                0.58332,                0.95025,                  1.275,               0.005842,               0.005842,               0.005842
                     44,                0.66853,                 1.0281,                 1.2747,                 0.5979,                0.88575,                0.73377,                0.58105,                0.58268,                0.95486,                  1.254,               0.005743,               0.005743,               0.005743
                     45,                0.65403,                 1.0195,                 1.2606,                0.61053,                 0.8209,                0.75587,                0.59955,                0.61925,                 1.0037,                 1.3116,               0.005644,               0.005644,               0.005644
                     46,                 0.6608,                 1.0113,                  1.274,                0.68289,                0.75813,                0.76757,                 0.6185,                0.56526,                0.89353,                 1.2429,               0.005545,               0.005545,               0.005545
                     47,                0.65195,                 1.0155,                 1.2572,                0.71072,                0.73479,                0.75393,                0.60019,                0.57188,                0.92906,                  1.241,               0.005446,               0.005446,               0.005446
                     48,                0.66055,                 1.0126,                 1.2661,                0.63094,                0.75822,                0.74489,                0.60356,                 0.5658,                0.93553,                 1.2511,               0.005347,               0.005347,               0.005347
